title,link,price,image_link,description,,Price in DKK,Price in CHF,Price in GBP,Price in AUD,Price in SED,Price in USD,Price in SGD,Price in EUR,Price in CAD,,,,material,Sleeves,Color,,,,,,,,,,availability,Necks
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-412,448,https://img.sonofatailor.com/images/customizer/product/ColdBlue_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Cold Blue, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Cold Blue,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-413,448,https://img.sonofatailor.com/images/customizer/product/ColdBlue_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Cold Blue, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Cold Blue,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-514,448,https://img.sonofatailor.com/images/customizer/product/JuneBlue_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, June Blue, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,June Blue,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-515,448,https://img.sonofatailor.com/images/customizer/product/JuneBlue_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, June Blue, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,June Blue,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-636,448,https://img.sonofatailor.com/images/customizer/product/Oat_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Oat, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Oat,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-637,448,https://img.sonofatailor.com/images/customizer/product/Oat_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Oat, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Oat,,,,,,,,,,out of stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-657,448,https://img.sonofatailor.com/images/customizer/product/Eventide_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Eventide, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Eventide,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-658,448,https://img.sonofatailor.com/images/customizer/product/Eventide_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Eventide, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Eventide,,,,,,,,,,out of stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-659,448,https://img.sonofatailor.com/images/customizer/product/Cider_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Cider, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Cider,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-660,448,https://img.sonofatailor.com/images/customizer/product/Cider_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Cider, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Cider,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-665,448,https://img.sonofatailor.com/images/customizer/product/PaleLavender_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Pale Lavender, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Pale Lavender,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-666,448,https://img.sonofatailor.com/images/customizer/product/PaleLavender_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Pale Lavender, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Pale Lavender,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-720,448,https://img.sonofatailor.com/images/customizer/product/Masala_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Masala, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Masala,,,,,,,,,,out of stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-721,448,https://img.sonofatailor.com/images/customizer/product/Masala_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Masala, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Masala,,,,,,,,,,in stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-746,448,https://img.sonofatailor.com/images/customizer/product/OceanStripes_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Ocean Stripes, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Ocean Stripes,,,,,,,,,,out of stock,O-Neck Single Stitch
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-4-9-747,448,https://img.sonofatailor.com/images/customizer/product/BeachStripes_O_SingleStitch_Regular_NoPocket.jpg,"Short Sleeve T-Shirt, Beach Stripes, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Beach Stripes,,,,,,,,,,out of stock,O-Neck Single Stitch
